"Image Name","BW15004_f3"
"Created Date","	6/8/2023 5:29:43 PM"
"Specimen","BW15004_f3"
"Description","feather 3 "
"Observations",""
"Calibration","1 pixel = 3.93E-003 mm"


"Measurement #","Group","Tool","Comments","Class","Line Length (mm)","Width (mm)","Height (mm)","End Distance (mm)"
"1","","Segment","b1","black segment","1.982894404732","1.940118361458","0.400428861111","1.981010481870"
"2","","Segment","b1","clear segment","0.381427117096","0.365244954688","0.109921648148","0.381427117096"
"3","","Segment","b2","black segment","2.188258839648","2.175760267708","0.192362884259","2.183905054571"
"4","","Segment","b2","black segment","0.201060455400","0.196368255208","0.043183504630","0.201060455400"
"5","","Segment","b2","clear segment","0.052396512184","0.051055746354","0.011777319444","0.052396512184"
"6","","Segment","b2","clear segment","0.266708069861","0.259206096875","0.062812370370","0.266708069861"
"7","","Segment","b3","clear segment","0.087201011677","0.086402032292","0.011777319444","0.087201011677"
"8","","Segment","b3","black segment","2.882729707707","2.870903891146","0.153105152778","2.872087343659"
"9","","Segment","b4","clear segment","0.240304789869","0.235641906250","0.047109277778","0.240304789869"
"10","","Segment","b4","clear segment","0.047777935268","0.047128381250","0.007851546296","0.047777935268"
"11","","Segment","b4","clear segment","0.063326464646","0.062837841667","0.007851546296","0.063326464646"
"12","","Segment","b4","black segment","0.036207826624","0.035346285938","0.007851546296","0.036207826624"
"13","","Segment","b4","black segment","0.036207826624","0.035346285937","0.007851546296","0.036207826624"
"14","","Segment","b4","black segment","3.244168179238","3.220439385417","0.211991750000","3.221396360752"
"15","","Segment","b5","black segment","4.005188127857","3.954856659896","0.345468037037","3.957819145455"
"16","","Segment","b5","clear segment","0.073367104949","0.070692571875","0.019628865741","0.073367104949"
"17","","Segment","b6","clear segment","0.468994505595","0.451646986979","0.125624740741","0.468792679479"
"18","","Segment","b6","clear segment","0.016192555122","0.015709460417","0.003925773148","0.016192555122"
"19","","Segment","b6","black segment","3.153696084352","3.126182622917","0.180585564815","3.126185087854"
"20","","Segment","b6","black segment","1.200316573290","1.150717975521","0.337616490741","1.199223396206"
"21","","Segment","b7","black segment","3.848670662133","3.727069483854","0.785154629630","3.808065842876"
"22","","Segment","b7","black segment","0.113961226244","0.113893588021","0.003925773148","0.113961226244"
"23","","Segment","b7","black segment","0.585149903985","0.581250035417","0.066738143519","0.585068870709"
"24","","Segment","b7","clear segment","0.282166954909","0.278842922396","0.043183504630","0.282166954909"
"25","","Segment","b7","clear segment","0.149703858442","0.149239873958","0.011777319444","0.149703858442"
"26","","Segment","b7","clear segment","0.063326464646","0.062837841667","0.007851546296","0.063326464646"
"27","","Segment","b8","black segment","3.289059803667","3.059417416146","1.165954625000","3.274062478600"
"28","","Segment","b9","black segment","4.897660088533","4.579307711458","1.546754620370","4.833477937454"
"29","","Segment","b9","clear segment","0.117886338013","0.117820953125","0.003925773148","0.117886338013"
"30","","Segment","b10","clear segment","0.881206634099","0.875802418229","0.090292782407","0.880444582203"
"31","","Segment","b10","black segment","3.899821779871","3.628885356250","1.362243282407","3.876147015952"
"32","","Segment","b10","black segment","1.305074729159","1.044679117708","0.781228856481","1.304481883805"
"33","","Segment","b10","clear segment","0.070792751959","0.058910476563","0.039257731481","0.070792751959"
