"Image Name","BW15113_f3"
"Created Date","	6/7/2023 1:43:45 PM"
"Specimen","BW15113_R_f3"
"Description","right side feather 3"
"Observations",""
"Calibration","1 pixel = 3.927E-003 mm"


"Measurement #","Group","Tool","Comments","Class","Line Length (mm)","Width (mm)","Height (mm)","End Distance (mm)","Count"
"1","","Count","","","-","-","-","-","10"
"2","","Segment","b2","black segment","1.904939982365","1.892989980208","0.188437111111","1.902345817672","-"
"3","","Segment","b2","clear segment","0.679842336791","0.679434163021","0.023554638889","0.679842336791","-"
"4","","Segment","b6","clear segment","0.594552777316","0.545903749479","0.235546388889","0.594552777316","-"
"5","","Segment","b6","clear segment","0.186693957736","0.172804064583","0.070663916667","0.186693957736","-"
"6","","Segment","b6","clear segment","0.746980189108","0.659797337500","0.349393810185","0.746597991671","-"
"7","","Segment","b6","black segment","0.809798490918","0.726562544271","0.357245356481","0.809640275348","-"
"8","","Segment","b6","black segment","1.161208691642","1.076098038542","0.435760819444","1.160979965510","-"
"9","","Segment","b10","black segment","0.279514697700","0.255278731771","0.113847421296","0.279514697700","-"
"10","","Segment","b10","black segment","0.033553745538","0.031418920833","0.011777319444","0.033553745538","-"
"11","","Segment","b10","black segment","0.130009496492","0.117820953125","0.054960824074","0.130009496492","-"
"12","","Segment","b10","black segment","0.068584017023","0.062837841667","0.027480412037","0.068584017023","-"
"13","","Segment","b10","clear segment","2.864546355497","2.325000141667","1.648824722222","2.850306759519","-"
"14","","Segment","b10","clear segment","0.184615712911","0.168876699479","0.074589689815","0.184615712911","-"
"15","","Segment","b10","clear segment","0.295474407749","0.270988192188","0.117773194444","0.295474407749","-"
"16","","Segment","b10","clear segment","0.098491469250","0.090329397396","0.039257731481","0.098491469250","-"
"17","","Segment","b10","clear segment","1.394862277083","1.280321023958","0.553534013889","1.394855486752","-"
