"Model","Term","edf","Ref.df","F","p-value"
"belly","s(lon,lat)","1.84e-04",29,"3.35e-06","0.67"
"belly","s(RH_br)","6.22e-06",9,"1.66e-07","0.7"
"belly","s(Tave_br)","3.78e-05",9,"3.27e-06","0.4"
"belly","s(PPT_br)","1.7",9,"0.54","0.04"
"belly","s(srtm)","0.82",9,"0.52","0.01"
"belly","s(ndvi_M)","0.41",9,"0.08","0.17"
"crown","s(lon,lat)","1.38",29,"0.07","0.16"
"crown","s(RH_br)","1.75e-04",9,"1.58e-05","0.32"
"crown","s(Tave_br)","2.54",9,"1.35","6.91e-04"
"crown","s(PPT_br)","3.20e-05",9,"6.58e-07","0.76"
"crown","s(srtm)","1.89",9,"0.63","0.02"
"crown","s(ndvi_M)","6.46e-04",9,"5.39e-05","0.43"
"covert","s(lon,lat)","4.38",29,"0.84","1.74e-05"
"covert","s(RH_br)","0.71",9,"0.27","0.03"
"covert","s(Tave_br)","8.12e-05",9,"8.33e-07","0.82"
"covert","s(PPT_br)","1.79",9,"1.16","5.74e-04"
"covert","s(srtm)","2.15",9,"2.48","1.78e-06"
"covert","s(ndvi_M)","4.40e-05",9,"1.93e-07","0.97"
"throat","s(lon,lat)","4.84",29,"0.4","0.01"
"throat","s(RH_br)","9.83e-05",9,"1.84e-06","0.74"
"throat","s(Tave_br)","2.1",9,"1.52","1.16e-05"
"throat","s(PPT_br)","4.95",9,"11.79","0.00e+00"
"throat","s(srtm)","0.96",9,"2.9","0.00e+00"
"throat","s(ndvi_M)","0.34",9,"0.06","0.18"
"wspot","s(lon,lat)","6.08e-05",29,"8.81e-07","0.79"
"wspot","s(RH_br)","8.23e-06",9,"4.21e-07","0.57"
"wspot","s(Tave_br)","1.83e-05",9,"1.43e-06","0.46"
"wspot","s(PPT_br)","8.67e-06",9,"3.45e-07","0.67"
"wspot","s(srtm)","1.53e-06",9,"2.28e-08","0.85"
"wspot","s(ndvi_M)","8.81e-06",9,"2.31e-07","0.77"
